76,D0076,-117.133,32.6009,-117.1391,32.6004,-10.01,264.44,1
77,D0077,-117.1331,32.6018,-117.139,32.60101,-10.01,260.97,1
78,D0078,-117.1333,32.6026,-117.13925,32.60185,-10.01,261.49,1
79,D0079,-117.1334,32.6035,-117.13944,32.60301,-10.01,264.5,1
80,D0080,-117.1335,32.6044,-117.13972,32.60366,-10,261.96,1
81,D0081,-117.1337,32.6053,-117.1397,32.60459,-10.01,262,1
82,D0082,-117.1338,32.6062,-117.13956,32.60573,-10,264.47,1
83,D0083,-117.1339,32.6071,-117.13964,32.60664,-10,264.57,1
84,D0084,-117.134,32.608,-117.13966,32.60733,-10.02,262,1
85,D0085,-117.1342,32.6089,-117.13976,32.60799,-10.01,259,1
86,D0086,-117.1344,32.6098,-117.14018,32.60889,-10.01,259.41,1
87,D0087,-117.1346,32.6107,-117.14034,32.6098,-10.01,259.46,1
88,D0088,-117.1348,32.6116,-117.14035,32.61065,-10.01,258.51,1
89,D0089,-117.135,32.6124,-117.14032,32.61157,-10.01,259.51,1
90,D0090,-117.1352,32.6133,-117.14058,32.61246,-10.01,259.5,1
91,D0091,-117.1354,32.6142,-117.14097,32.61329,-10,259.02,1
92,D0092,-117.1356,32.6151,-117.14127,32.61417,-10.02,258.98,1
93,D0093,-117.1358,32.616,-117.14153,32.61506,-10.01,258.98,1
94,D0094,-117.136,32.6169,-117.14154,32.61608,-10,260.03,1
95,D0095,-117.1362,32.6178,-117.14163,32.61662,-10.01,255.53,1
96,D0096,-117.1365,32.6186,-117.14187,32.61726,-10.01,253.5,1
97,D0097,-117.1368,32.6195,-117.14222,32.6184,-10.02,256.45,1
98,D0098,-117.137,32.6204,-117.14246,32.61934,-10,257.02,1
99,D0099,-117.1373,32.6213,-117.14278,32.62015,-10,256.01,1
100,D0100,-117.1375,32.6221,-117.14301,32.62099,-10,256.55,1
101,D0101,-117.1378,32.623,-117.14318,32.62153,-10.01,252.03,1
102,D0102,-117.1382,32.6239,-117.14352,32.62209,-9.99,248,1
103,D0103,-117.1386,32.6247,-117.14395,32.6231,-10.01,250.45,1
104,D0104,-117.1389,32.6256,-117.14436,32.62424,-10.01,253.52,1
105,D0105,-117.1392,32.6264,-117.14467,32.62503,-10.02,253.44,1
106,D0106,-117.1395,32.6273,-117.14537,32.62588,-10,253.97,1
